시간,시가,고가,저가,종가,200,400,600,800,1000,1200
27/09:00:00,274,274,274,274,0,0,0,0,0,0
27/09:00:00,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:00,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:00,274.15,274.15,274.15,274.15,0,0,0,0,0,0
27/09:00:00,274.1,274.1,274.1,274.1,0,0,0,0,0,0
27/09:00:00,274,274,274,274,0,0,0,0,0,0
27/09:00:00,274,274,274,274,0,0,0,0,0,0
27/09:00:00,274,274,274,274,0,0,0,0,0,0
27/09:00:00,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:00,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:00,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:00,274.1,274.1,274.1,274.1,0,0,0,0,0,0
27/09:00:00,274.1,274.1,274.1,274.1,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:01,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274,274,274,274,0,0,0,0,0,0
27/09:00:01,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:02,274,274,274,274,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,274,274,274,274,0,0,0,0,0,0
27/09:00:02,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:02,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:02,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,274,274,274,274,0,0,0,0,0,0
27/09:00:02,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:02,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:02,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:02,274,274,274,274,0,0,0,0,0,0
27/09:00:03,274,274,274,274,0,0,0,0,0,0
27/09:00:03,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:03,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:03,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:03,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:03,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:03,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:03,274,274,274,274,0,0,0,0,0,0
27/09:00:03,274,274,274,274,0,0,0,0,0,0
27/09:00:03,274,274,274,274,0,0,0,0,0,0
27/09:00:03,274,274,274,274,0,0,0,0,0,0
27/09:00:03,274,274,274,274,0,0,0,0,0,0
27/09:00:03,274,274,274,274,0,0,0,0,0,0
27/09:00:03,274,274,274,274,0,0,0,0,0,0
27/09:00:03,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:04,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:04,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:04,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:04,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:04,274,274,274,274,0,0,0,0,0,0
27/09:00:04,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:04,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:04,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:04,274.1,274.1,274.1,274.1,0,0,0,0,0,0
27/09:00:04,274.1,274.1,274.1,274.1,0,0,0,0,0,0
27/09:00:04,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:05,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:05,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:05,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:05,274,274,274,274,0,0,0,0,0,0
27/09:00:05,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:05,274.1,274.1,274.1,274.1,0,0,0,0,0,0
27/09:00:05,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:05,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:05,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:05,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:05,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.1,274.1,274.1,274.1,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
27/09:00:06,274.05,274.05,274.05,274.05,0,0,0,0,0,0
