,,200,2000,600
시간,시가,0.009950249,0.0009995,0.003327787
19/09:00:00,255.3,255.3,255.3,255.3
19/09:00:00,255.4,255.300995,255.3001,255.3003328
19/09:00:00,255.4,255.3019801,255.3001998,255.3006644
19/09:00:00,255.35,255.302458,255.3002496,255.3008286
19/09:00:00,255.35,255.302931,255.3002993,255.3009923
19/09:00:00,255.35,255.3033994,255.300349,255.3011553
19/09:00:00,255.35,255.303863,255.3003986,255.3013179
19/09:00:00,255.35,255.3043221,255.3004482,255.3014799
19/09:00:00,255.4,255.3052741,255.3005477,255.3018077
19/09:00:00,255.25,255.3047242,255.3004972,255.3016353
19/09:00:00,255.4,255.3056722,255.3005966,255.3019627
19/09:00:00,255.25,255.3051182,255.300546,255.3017898
19/09:00:00,255.4,255.3060623,255.3006454,255.3021166
19/09:00:00,255.4,255.306997,255.3007448,255.3024423
19/09:00:00,255.4,255.3079224,255.300844,255.302767
19/09:00:00,255.25,255.3073461,255.3007931,255.3025914
19/09:00:00,255.3,255.307273,255.3007923,255.3025827
19/09:00:00,255.25,255.3067031,255.3007416,255.3024078
19/09:00:00,255.4,255.3076314,255.3008408,255.3027325
19/09:00:00,255.3,255.3075555,255.3008399,255.3027234
19/09:00:00,255.3,255.3074803,255.3008391,255.3027144
19/09:00:00,255.35,255.3079034,255.3008882,255.3028717
19/09:00:00,255.35,255.3083223,255.3009373,255.3030286
19/09:00:00,255.4,255.3092345,255.3010363,255.3033513
19/09:00:01,255.2,255.3081476,255.3009354,255.3030073
19/09:00:01,255.2,255.3070715,255.3008345,255.3026645
19/09:00:01,255.2,255.3060061,255.3007337,255.3023229
19/09:00:01,255.2,255.3049513,255.300633,255.3019824
19/09:00:01,255.25,255.3044045,255.3005824,255.3018094
19/09:00:01,255.3,255.3043607,255.3005818,255.3018034
19/09:00:01,255.3,255.3043173,255.3005812,255.3017974
19/09:00:01,255.25,255.3037768,255.3005307,255.301625
19/09:00:01,255.25,255.3032417,255.3004802,255.3014532
19/09:00:01,255.25,255.302712,255.3004297,255.301282
19/09:00:01,255.25,255.3021875,255.3003793,255.3011113
19/09:00:01,255.3,255.3021657,255.3003789,255.3011076
19/09:00:01,255.25,255.3016467,255.3003286,255.3009376
19/09:00:01,255.2,255.3006352,255.3002283,255.3006017
19/09:00:01,255.25,255.3001314,255.3001781,255.3004333
19/09:00:01,255.25,255.2996326,255.3001279,255.3002654
19/09:00:01,255.3,255.2996362,255.3001278,255.3002646
19/09:00:01,255.25,255.2991424,255.3000777,255.3000973
19/09:00:01,255.25,255.2986534,255.3000277,255.2999306
19/09:00:01,255.25,255.2981693,255.2999777,255.2997644
19/09:00:01,255.25,255.29769,255.2999277,255.2995988
19/09:00:01,255.25,255.2972154,255.2998778,255.2994338
19/09:00:01,255.25,255.2967456,255.299828,255.2992693
19/09:00:01,255.35,255.2972755,255.2998781,255.2994381
19/09:00:01,255.3,255.2973026,255.2998782,255.2994399
19/09:00:01,255.35,255.297827,255.2999283,255.2996082
19/09:00:01,255.35,255.2983461,255.2999784,255.2997759
19/09:00:01,255.35,255.2988601,255.3000284,255.299943
19/09:00:01,255.35,255.2993689,255.3000783,255.3001096
19/09:00:01,255.4,255.3003702,255.3001782,255.300442
19/09:00:01,255.35,255.3008641,255.300228,255.3006069
19/09:00:01,255.35,255.301353,255.3002777,255.3007713
19/09:00:01,255.35,255.301837,255.3003274,255.3009351
19/09:00:01,255.35,255.3023163,255.3003771,255.3010984
19/09:00:01,255.35,255.3027907,255.3004267,255.3012611
19/09:00:01,255.3,255.302763,255.3004262,255.3012569
19/09:00:01,255.3,255.3027355,255.3004258,255.3012528
19/09:00:01,255.3,255.3027083,255.3004254,255.3012486
19/09:00:01,255.3,255.3026813,255.300425,255.3012444
19/09:00:01,255.3,255.3026546,255.3004245,255.3012403
19/09:00:01,255.3,255.3026282,255.3004241,255.3012362
19/09:00:01,255.3,255.3026021,255.3004237,255.3012321
19/09:00:02,255.2,255.3015812,255.3003233,255.3008952
19/09:00:02,255.2,255.3005704,255.300223,255.3005594
19/09:00:02,255.2,255.2995697,255.3001229,255.3002248
19/09:00:02,255.15,255.2980814,255.2999728,255.2997249
19/09:00:02,255.2,255.2971055,255.2998729,255.299393
19/09:00:02,255.2,255.2961393,255.2997731,255.2990622
19/09:00:02,255.2,255.2951827,255.2996734,255.2987326
19/09:00:02,255.2,255.2942356,255.2995737,255.298404
19/09:00:02,255.2,255.2932979,255.2994742,255.2980766
19/09:00:02,255.15,255.2918721,255.2993248,255.2975838
19/09:00:02,255.2,255.2909579,255.2992255,255.297259
19/09:00:02,255.2,255.2900529,255.2991264,255.2969354
19/09:00:02,255.2,255.2891568,255.2990273,255.2966128
19/09:00:03,255.05,255.2867771,255.2987784,255.2957921
19/09:00:03,255.1,255.2849187,255.2985797,255.2951406
19/09:00:03,255.1,255.2830787,255.2983812,255.2944912
19/09:00:03,255.1,255.281257,255.2981829,255.293844
19/09:00:03,255.1,255.2794534,255.2979848,255.2931989
19/09:00:03,255.1,255.2776678,255.297787,255.292556
19/09:00:03,255.15,255.2763975,255.2976393,255.2920816
19/09:00:03,255.2,255.2756373,255.2975417,255.2917751
19/09:00:03,255.15,255.2743872,255.2973942,255.2913033
19/09:00:03,255.15,255.2731495,255.2972469,255.2908331
19/09:00:03,255.15,255.2719242,255.2970997,255.2903645
19/09:00:03,255.2,255.2712085,255.2970026,255.2900637
19/09:00:03,255.15,255.2700024,255.2968557,255.2895976
19/09:00:03,255.2,255.2693059,255.2967589,255.2892995
19/09:00:03,255.2,255.2686163,255.2966622,255.2890023
19/09:00:03,255.15,255.267436,255.2965156,255.2885397
19/09:00:03,255.15,255.2662675,255.2963692,255.2880787
19/09:00:04,255.15,255.2651106,255.2962229,255.2876192
19/09:00:04,255.15,255.2639652,255.2960767,255.2871612
19/09:00:04,255.1,255.2623337,255.2958807,255.2865384
19/09:00:04,255.1,255.2607185,255.295685,255.2859177
19/09:00:04,255.1,255.2591193,255.2954894,255.285299
19/09:00:04,255.1,255.257536,255.295294,255.2846823
19/09:00:04,255.1,255.2559685,255.2950988,255.2840677
19/09:00:04,255.1,255.2544166,255.2949038,255.2834552
19/09:00:04,255.1,255.2528801,255.294709,255.2828447
19/09:00:04,255.15,255.2518564,255.2945643,255.2824026
19/09:00:04,255.1,255.2503454,255.2943699,255.2817956
19/09:00:04,255.1,255.2488494,255.2941756,255.2811906
19/09:00:04,255.1,255.2473683,255.2939815,255.2805877
19/09:00:04,255.1,255.245902,255.2937876,255.2799867
19/09:00:04,255.1,255.2444502,255.2935939,255.2793878
19/09:00:04,255.15,255.2435104,255.2934504,255.2789572
19/09:00:04,255.1,255.2420825,255.2932571,255.2783617
19/09:00:04,255.1,255.2406687,255.2930639,255.2777681
19/09:00:05,255.15,255.2397665,255.2929209,255.2773429
19/09:00:05,255.15,255.2388733,255.2927781,255.2769192
19/09:00:05,255.2,255.2384865,255.2926853,255.2766632
19/09:00:05,255.2,255.2381036,255.2925927,255.2764081
19/09:00:05,255.2,255.2377244,255.2925002,255.2761538
19/09:00:05,255.2,255.2373491,255.2924077,255.2759004
19/09:00:05,255.2,255.2369774,255.2923153,255.2756478
19/09:00:05,255.2,255.2366095,255.2922231,255.2753961
19/09:00:05,255.15,255.2357477,255.2920809,255.2749788
19/09:00:05,255.2,255.235392,255.2919889,255.2747293
19/09:00:05,255.2,255.2350399,255.2918969,255.2744806
19/09:00:05,255.15,255.2341937,255.2917551,255.2740663
19/09:00:05,255.2,255.2338535,255.2916634,255.2738198
19/09:00:05,255.15,255.2330191,255.2915218,255.2734078
